"VP","VN","FP","FN"
"0","15","15","15"
"0","16","15","14"
"0","16","15","14"
"1","30","14","0"
"0","16","15","14"
"1","15","14","15"
"0","15","15","15"
"0","16","15","14"
"4","15","11","15"
"0","15","15","15"
"0","15","15","15"
"0","15","15","15"
"0","16","15","14"
"0","19","15","11"
"0","15","15","15"
"0","15","15","15"
"0","15","15","15"
"0","16","15","14"
"1","15","14","15"
"0","15","15","15"
"3","18","12","12"
"0","22","15","8"
"2","15","13","15"
"2","19","13","11"
"0","15","15","15"
"0","30","15","0"
"0","16","15","14"
"0","15","15","15"
"2","20","13","10"
"0","15","15","15"
"0","15","15","15"
"3","16","12","14"
"0","15","15","15"
"0","30","15","0"
"0","16","15","14"
"0","20","15","10"
"1","15","14","15"
"0","15","15","15"
"3","17","12","13"
"3","18","12","12"
"0","15","15","15"
"1","21","14","9"
"3","15","12","15"
"3","15","12","15"
"0","16","15","14"
"0","15","15","15"
"0","16","15","14"
"0","15","15","15"
"2","13","13","17"
"0","29","15","1"
"0","18","15","12"
"2","15","13","15"
"6","24","9","6"
"6","23","9","7"
"3","17","12","13"
"4","15","11","15"
"1","15","14","15"
"0","15","15","15"
"0","15","15","15"
"2","20","13","10"
"0","17","15","13"
"0","18","15","12"
"1","15","14","15"
"0","30","15","0"
"0","14","15","16"
"0","16","15","14"
"3","15","12","15"
"4","21","11","9"
"0","15","15","15"
"0","16","15","14"
"0","15","15","15"
"5","18","10","12"
"1","17","14","13"
"0","16","15","14"
"4","16","11","14"
"0","16","15","14"
"0","15","15","15"
"0","16","15","14"
"2","15","13","15"
"0","16","15","14"
"0","15","15","15"
"1","18","14","12"
"4","19","11","11"
"0","15","15","15"
"0","15","15","15"
"0","18","15","12"
"0","15","15","15"
"0","15","15","15"
"0","28","15","2"
"3","15","12","15"
"0","15","15","15"
"0","15","15","15"
"0","17","15","13"
"2","18","13","12"
"0","17","15","13"
"0","15","15","15"
"1","16","14","14"
"2","21","13","9"
"7","14","8","16"
"1","19","14","11"
"0","30","15","0"
"0","24","15","6"
"1","16","14","14"
"0","15","15","15"
