"VP","VN","FP","FN"
"0","28","15","2"
"0","30","15","0"
"0","30","15","0"
"0","26","15","4"
"0","27","15","3"
"0","30","15","0"
"0","30","15","0"
"0","20","15","10"
"0","29","15","1"
"0","27","15","3"
"0","26","15","4"
"0","17","15","13"
"0","30","15","0"
"0","30","15","0"
"0","27","15","3"
"0","29","15","1"
"0","26","15","4"
"1","27","14","3"
"0","30","15","0"
"0","30","15","0"
"0","16","15","14"
"0","20","15","10"
"0","30","15","0"
"0","30","15","0"
"0","29","15","1"
"0","28","15","2"
"0","24","15","6"
"0","25","15","5"
"0","25","15","5"
"0","30","15","0"
"0","30","15","0"
"0","29","15","1"
"0","30","15","0"
"0","17","15","13"
"0","30","15","0"
"0","30","15","0"
"0","19","15","11"
"0","29","15","1"
"0","17","15","13"
"0","30","15","0"
"0","26","15","4"
"0","29","15","1"
"0","30","15","0"
"0","19","15","11"
"0","19","15","11"
"0","30","15","0"
"0","28","15","2"
"0","26","15","4"
"2","30","13","0"
"0","19","15","11"
"0","19","15","11"
"3","20","12","10"
"0","20","15","10"
"0","30","15","0"
"0","25","15","5"
"0","30","15","0"
"0","29","15","1"
"0","18","15","12"
"0","17","15","13"
"0","20","15","10"
"0","30","15","0"
"0","30","15","0"
"0","30","15","0"
"0","26","15","4"
"0","18","15","12"
"4","17","11","13"
"0","30","15","0"
"0","26","15","4"
"0","30","15","0"
"0","30","15","0"
"0","28","15","2"
"0","28","15","2"
"0","18","15","12"
"0","30","15","0"
"0","29","15","1"
"0","29","15","1"
"0","30","15","0"
"0","29","15","1"
"0","19","15","11"
"0","30","15","0"
"0","29","15","1"
"0","23","15","7"
"0","20","15","10"
"0","29","15","1"
"0","27","15","3"
"0","30","15","0"
"0","28","15","2"
"0","26","15","4"
"1","26","14","4"
"0","29","15","1"
"0","29","15","1"
"0","28","15","2"
"0","21","15","9"
"0","30","15","0"
"0","18","15","12"
"0","30","15","0"
"0","26","15","4"
"0","26","15","4"
"0","28","15","2"
"0","18","15","12"
"0","19","15","11"
"0","28","15","2"
"3","25","12","5"
"0","24","15","6"
"0","30","15","0"
"0","16","15","14"
"0","16","15","14"
"0","26","15","4"
"0","29","15","1"
"0","30","15","0"
"0","18","15","12"
"0","30","15","0"
"0","21","15","9"
"0","28","15","2"
"1","28","14","2"
"0","30","15","0"
"4","26","11","4"
"0","17","15","13"
"0","19","15","11"
"0","30","15","0"
"0","30","15","0"
"0","30","15","0"
"1","15","14","15"
"0","24","15","6"
"0","26","15","4"
"1","28","14","2"
"0","30","15","0"
"0","27","15","3"
"0","17","15","13"
"4","22","11","8"
"0","30","15","0"
"0","20","15","10"
"0","25","15","5"
"0","27","15","3"
"0","30","15","0"
"0","30","15","0"
"0","18","15","12"
"0","29","15","1"
"2","27","13","3"
"0","29","15","1"
"0","29","15","1"
"0","18","15","12"
"0","29","15","1"
"0","19","15","11"
"0","28","15","2"
"0","30","15","0"
"0","28","15","2"
"0","29","15","1"
"0","23","15","7"
"0","30","15","0"
"0","30","15","0"
"0","29","15","1"
"0","30","15","0"
"0","30","15","0"
"0","29","15","1"
"0","27","15","3"
"0","22","15","8"
"0","22","15","8"
"0","29","15","1"
"0","30","15","0"
"0","22","15","8"
"0","22","15","8"
"0","16","15","14"
"0","21","15","9"
"0","30","15","0"
"0","21","15","9"
"0","28","15","2"
"0","22","15","8"
"0","30","15","0"
"0","20","15","10"
"0","30","15","0"
"0","27","15","3"
"0","30","15","0"
"0","30","15","0"
"0","29","15","1"
"0","25","15","5"
"0","30","15","0"
"0","28","15","2"
"0","17","15","13"
"0","25","15","5"
"0","17","15","13"
"0","30","15","0"
"0","29","15","1"
"0","20","15","10"
"1","27","14","3"
"0","30","15","0"
"0","29","15","1"
"0","29","15","1"
"0","29","15","1"
"0","28","15","2"
"0","26","15","4"
"1","25","14","5"
"0","29","15","1"
"1","25","14","5"
"0","25","15","5"
"0","18","15","12"
"0","28","15","2"
"0","30","15","0"
"0","17","15","13"
"0","21","15","9"
"0","26","15","4"
"0","27","15","3"
"1","27","14","3"
"0","30","15","0"
"0","30","15","0"
"0","29","15","1"
"0","23","15","7"
"0","28","15","2"
"0","28","15","2"
"0","29","15","1"
"0","22","15","8"
"0","29","15","1"
"0","22","15","8"
"0","28","15","2"
"0","30","15","0"
"0","28","15","2"
"0","30","15","0"
"0","30","15","0"
"0","30","15","0"
"0","30","15","0"
"0","30","15","0"
"0","29","15","1"
"0","30","15","0"
"0","20","15","10"
"0","28","15","2"
"0","17","15","13"
"0","30","15","0"
"0","28","15","2"
"0","30","15","0"
"0","29","15","1"
"0","26","15","4"
"0","21","15","9"
"0","29","15","1"
"0","29","15","1"
"0","29","15","1"
"1","28","14","2"
"0","17","15","13"
"0","28","15","2"
"0","29","15","1"
"0","28","15","2"
"0","30","15","0"
"0","27","15","3"
"0","29","15","1"
"0","30","15","0"
"0","29","15","1"
"0","19","15","11"
"0","21","15","9"
"0","24","15","6"
"0","28","15","2"
"0","26","15","4"
"0","25","15","5"
"0","18","15","12"
"0","30","15","0"
"0","17","15","13"
"0","28","15","2"
"0","18","15","12"
"0","29","15","1"
"0","30","15","0"
"0","29","15","1"
"0","24","15","6"
"0","29","15","1"
"0","30","15","0"
"0","30","15","0"
"0","29","15","1"
"0","30","15","0"
"0","29","15","1"
"0","19","15","11"
"0","29","15","1"
"0","30","15","0"
"0","30","15","0"
"0","16","15","14"
"0","17","15","13"
"0","20","15","10"
"0","20","15","10"
"0","29","15","1"
"0","28","15","2"
"0","29","15","1"
"0","22","15","8"
"0","24","15","6"
"0","29","15","1"
"0","27","15","3"
"0","30","15","0"
"1","25","14","5"
"0","18","15","12"
"0","15","15","15"
"0","30","15","0"
"0","28","15","2"
"0","25","15","5"
"0","29","15","1"
"0","30","15","0"
"0","28","15","2"
"0","24","15","6"
"0","26","15","4"
"0","30","15","0"
"0","27","15","3"
"0","29","15","1"
"0","29","15","1"
"0","21","15","9"
"0","30","15","0"
"0","30","15","0"
"0","29","15","1"
"0","30","15","0"
"0","28","15","2"
"0","17","15","13"
"0","30","15","0"
"0","30","15","0"
"0","29","15","1"
"3","22","12","8"
"0","30","15","0"
"0","30","15","0"
"0","18","15","12"
"0","27","15","3"
"0","17","15","13"
"0","25","15","5"
"0","25","15","5"
"0","30","15","0"
"0","29","15","1"
"0","22","15","8"
"0","26","15","4"
"0","15","15","15"
"0","27","15","3"
"1","22","14","8"
"0","22","15","8"
"0","30","15","0"
"1","29","14","1"
"1","29","14","1"
"0","15","15","15"
"0","25","15","5"
"0","30","15","0"
"0","26","15","4"
"0","27","15","3"
"0","30","15","0"
"0","26","15","4"
"0","23","15","7"
"0","26","15","4"
"0","25","15","5"
"0","30","15","0"
"0","27","15","3"
"0","30","15","0"
"0","30","15","0"
"0","27","15","3"
"0","29","15","1"
"0","17","15","13"
"0","24","15","6"
"0","30","15","0"
"0","24","15","6"
